state,PctPopUnderPov,PctUnemployed,LemasPctPolicOnPatr,totalCrimesPerPop,StateFull,LongRunPovertyRate,PovertyTier
TX,28.68,8.39,94.44,10448.17,Texas,8.584604858958713,Low
AR,27.71,11.05,80.18,8847.93,Arkansas,18.177194231349624,Mid
CA,14.37,6.95,92.65,4620.41,California,10.65231688752142,Low
TX,8.21,4.99,92.7,6944.0,Texas,8.584604858958713,Low
NY,19.29,8.98,87.69,8262.66,New York,10.898910102683956,Low
TX,37.29,11.24,86.7,6638.25,Texas,8.584604858958713,Low
CA,6.6,3.8,96.03,8481.75,California,10.65231688752142,Low
OH,19.09,9.92,80.67,8895.21,Ohio,24.41574456226751,High
PA,20.27,9.62,99.94,6532.74,Pennsylvania,9.660425938108526,Low
VA,16.45,5.97,89.13,5384.15,Virginia,19.26287883401769,High
TN,20.8,7.11,93.05,7872.76,Tennessee,16.418007471891592,Mid
AZ,20.16,8.12,91.95,10913.13,Arizona,20.443897010793886,High
OR,14.53,6.16,88.95,11418.75,Oregon,13.1784340759473,Mid
CA,5.15,3.95,96.39,5973.48,California,10.65231688752142,Low
CT,21.29,9.25,89.74,13115.78,Connecticut,8.98742140685939,Low
FL,22.32,5.56,95.49,14331.28,Florida,18.21895519963455,High
OH,20.87,8.74,93.07,9240.71,Ohio,24.41574456226751,High
CA,18.86,8.34,92.62,9171.63,California,10.65231688752142,Low
WA,17.34,8.12,90.83,8178.37,Washington,13.299088293519986,Mid
NJ,18.18,10.87,88.2,5492.93,New Jersey,8.78965701623996,Low
NJ,21.96,8.85,91.94,9004.34,New Jersey,8.78965701623996,Low
FL,19.44,6.54,89.44,15726.05,Florida,18.21895519963455,High
TX,17.97,7.43,79.05,10759.46,Texas,8.584604858958713,Low
PA,19.41,8.63,86.08,8238.59,Pennsylvania,9.660425938108526,Low
CA,16.1,9.43,85.47,11737.15,California,10.65231688752142,Low
CA,9.17,4.17,91.49,7695.96,California,10.65231688752142,Low
CA,16.82,6.54,93.0,8227.11,California,10.65231688752142,Low
FL,5.16,3.85,80.39,4471.1,Florida,18.21895519963455,High
OK,15.86,7.06,87.02,11100.7,Oklahoma,21.74275491797984,High
NJ,5.63,6.69,93.55,5205.02,New Jersey,8.78965701623996,Low
CT,3.72,5.5,88.68,5593.58,Connecticut,8.98742140685939,Low
IN,16.45,8.22,93.0,5616.46,Indiana,11.609764881530694,Low
NV,11.52,5.5,96.66,7645.09,Nevada,16.741985453031397,Mid
RI,12.47,5.96,91.21,9940.11,Rhode Island,19.63196145070667,High
CO,6.28,5.17,99.13,3841.71,Colorado,10.651906845715445,Low
RI,10.59,7.98,93.1,6160.51,Rhode Island,19.63196145070667,High
UT,16.4,5.58,91.78,10544.2,Utah,23.45844683533929,High
SC,17.72,5.67,96.88,10686.35,South Carolina,15.482592393573222,Mid
PA,27.02,10.31,87.66,9199.68,Pennsylvania,9.660425938108526,Low
NY,25.62,11.58,93.8,10341.07,New York,10.898910102683956,Low
GA,27.52,10.85,81.48,11323.56,Georgia,20.037233822532773,High
FL,13.25,4.69,67.97,12662.69,Florida,18.21895519963455,High
CA,13.92,6.89,95.45,9420.53,California,10.65231688752142,Low
GA,22.61,7.77,91.45,8890.28,Georgia,20.037233822532773,High
CT,3.02,3.8,88.61,2378.26,Connecticut,8.98742140685939,Low
CA,17.21,7.6,92.82,10549.3,California,10.65231688752142,Low
FL,13.96,6.59,88.32,14555.66,Florida,18.21895519963455,High
PA,15.22,6.55,99.29,3563.14,Pennsylvania,9.660425938108526,Low
CA,5.67,3.01,89.93,5251.82,California,10.65231688752142,Low
NJ,6.03,5.41,95.92,6765.54,New Jersey,8.78965701623996,Low
IN,14.37,7.82,87.17,9848.71,Indiana,11.609764881530694,Low
NJ,12.38,9.91,88.82,12235.21,New Jersey,8.78965701623996,Low
NJ,16.39,6.16,87.02,8015.26,New Jersey,8.78965701623996,Low
CA,12.66,6.2,84.64,9564.3,California,10.65231688752142,Low
CT,7.31,5.13,87.18,4858.77,Connecticut,8.98742140685939,Low
CA,9.35,4.81,86.34,12605.73,California,10.65231688752142,Low
PA,19.3,8.85,89.58,5099.61,Pennsylvania,9.660425938108526,Low
CO,17.13,6.77,83.69,7954.25,Colorado,10.651906845715445,Low
LA,15.96,7.25,77.12,7175.08,Louisiana,16.92085933774804,Mid
PA,20.93,6.47,94.44,7809.26,Pennsylvania,9.660425938108526,Low
LA,23.57,10.56,10.85,6652.31,Louisiana,16.92085933774804,Mid
VA,14.04,5.93,89.73,6436.19,Virginia,19.26287883401769,High
RI,4.84,5.44,98.81,4676.18,Rhode Island,19.63196145070667,High
NJ,2.27,3.86,90.11,3473.43,New Jersey,8.78965701623996,Low
WI,16.05,3.52,77.08,5440.56,Wisconsin,17.294074748835754,Mid
NJ,16.12,9.91,93.24,8879.82,New Jersey,8.78965701623996,Low
NJ,18.54,11.04,89.2,8243.47,New Jersey,8.78965701623996,Low
WA,5.58,3.03,93.89,5715.55,Washington,13.299088293519986,Mid
LA,26.17,9.35,75.3,16017.76,Louisiana,16.92085933774804,Mid
CA,16.47,10.0,91.26,7648.36,California,10.65231688752142,Low
WI,13.39,5.42,72.66,4550.11,Wisconsin,17.294074748835754,Mid
OK,14.99,6.09,88.89,7849.09,Oklahoma,21.74275491797984,High
NH,8.99,7.07,90.91,5612.11,New Hampshire,18.07104767065472,Mid
CA,18.43,9.08,88.37,7320.55,California,10.65231688752142,Low
AR,14.62,5.26,74.0,15619.87,Arkansas,18.177194231349624,Mid
NJ,16.09,7.29,90.43,6283.27,New Jersey,8.78965701623996,Low
SC,21.73,4.82,96.38,13755.41,South Carolina,15.482592393573222,Mid
FL,15.48,8.23,96.08,12674.66,Florida,18.21895519963455,High
MS,22.68,8.79,68.0,13147.09,Mississippi,14.22815133599276,Mid
OH,26.53,10.39,78.26,11095.38,Ohio,24.41574456226751,High
NY,7.68,5.02,88.0,5776.97,New York,10.898910102683956,Low
TX,25.32,9.85,88.62,7996.92,Texas,8.584604858958713,Low
IN,20.43,8.33,93.16,7206.96,Indiana,11.609764881530694,Low
CA,22.79,10.69,61.55,12295.77,California,10.65231688752142,Low
NY,23.5,8.8,88.54,11210.45,New York,10.898910102683956,Low
OK,15.04,6.05,75.21,5195.56,Oklahoma,21.74275491797984,High
MA,17.99,10.68,86.44,9037.26,Massachusetts,18.40149921028045,High
IA,15.59,6.51,86.62,9643.78,Iowa,11.09102444252071,Low
NC,11.8,3.97,96.13,6344.77,North Carolina,9.105877080749751,Low
NJ,36.56,16.3,80.41,15640.61,New Jersey,8.78965701623996,Low
CA,22.51,9.4,95.58,5895.21,California,10.65231688752142,Low
TX,17.93,6.32,73.46,10373.73,Texas,8.584604858958713,Low
NJ,3.47,4.49,87.36,2800.77,New Jersey,8.78965701623996,Low
VA,16.08,5.47,92.15,5586.18,Virginia,19.26287883401769,High
MO,15.32,7.23,91.03,12499.63,Missouri,15.753189731689613,Mid
NY,11.03,6.48,86.64,5232.15,New York,10.898910102683956,Low
FL,5.51,3.29,92.74,5852.96,Florida,18.21895519963455,High
CA,9.31,5.54,53.75,4504.0,California,10.65231688752142,Low
SC,21.79,6.9,93.33,15061.2,South Carolina,15.482592393573222,Mid
NC,10.83,4.16,91.88,9215.72,North Carolina,9.105877080749751,Low
TN,18.18,6.9,87.06,10627.19,Tennessee,16.418007471891592,Mid
CA,16.42,6.15,98.57,4971.49,California,10.65231688752142,Low
CA,8.05,5.43,89.52,4258.35,California,10.65231688752142,Low
AL,22.43,9.13,84.66,9032.3,Alabama,14.367182020405163,Mid
SC,21.17,5.87,81.23,11847.94,South Carolina,15.482592393573222,Mid
CT,5.76,5.4,77.78,5467.34,Connecticut,8.98742140685939,Low
OH,17.26,5.91,99.28,8978.92,Ohio,24.41574456226751,High
MA,8.83,7.13,81.32,5072.21,Massachusetts,18.40149921028045,High
CA,12.52,6.71,94.48,5925.81,California,10.65231688752142,Low
MA,10.7,5.15,85.24,6828.99,Massachusetts,18.40149921028045,High
CT,12.8,7.84,83.8,7380.49,Connecticut,8.98742140685939,Low
MD,21.87,9.16,89.02,12982.85,Maryland,12.950895383366714,Mid
TX,32.75,10.26,92.59,12242.9,Texas,8.584604858958713,Low
NJ,5.72,5.57,89.52,4683.3,New Jersey,8.78965701623996,Low
CA,27.5,14.33,83.33,7181.16,California,10.65231688752142,Low
TN,22.96,8.71,57.81,10135.2,Tennessee,16.418007471891592,Mid
TX,28.12,12.78,96.3,9336.91,Texas,8.584604858958713,Low
FL,6.19,2.99,63.06,6463.86,Florida,18.21895519963455,High
CO,6.62,4.19,82.86,5130.5,Colorado,10.651906845715445,Low
MO,9.52,5.46,91.61,6416.79,Missouri,15.753189731689613,Mid
NJ,15.19,10.91,84.48,7748.86,New Jersey,8.78965701623996,Low
NJ,6.06,6.22,81.82,6128.85,New Jersey,8.78965701623996,Low
CT,3.63,3.96,97.56,4071.12,Connecticut,8.98742140685939,Low
CA,14.92,6.3,81.53,7219.45,California,10.65231688752142,Low
AZ,9.5,5.11,96.61,7463.95,Arizona,20.443897010793886,High
VA,10.82,5.87,88.73,5510.02,Virginia,19.26287883401769,High
LA,28.78,11.25,49.56,12831.48,Louisiana,16.92085933774804,Mid
AK,7.07,6.46,94.74,6408.29,Alaska,24.162143208968576,High
TX,10.55,5.24,89.5,6465.22,Texas,8.584604858958713,Low
LA,21.89,8.73,93.57,8443.37,Louisiana,16.92085933774804,Mid
NJ,2.28,3.91,94.0,5213.82,New Jersey,8.78965701623996,Low
NJ,6.97,5.79,98.17,5497.54,New Jersey,8.78965701623996,Low
CA,24.04,8.52,95.8,10873.5,California,10.65231688752142,Low
TX,43.86,15.3,95.14,9931.41,Texas,8.584604858958713,Low
CA,9.81,4.66,90.73,6730.53,California,10.65231688752142,Low
PA,12.86,6.26,94.09,7155.51,Pennsylvania,9.660425938108526,Low
IN,29.43,16.6,78.85,10179.67,Indiana,11.609764881530694,Low
IN,13.49,8.93,85.87,8629.79,Indiana,11.609764881530694,Low
AZ,13.61,5.19,91.95,8276.42,Arizona,20.443897010793886,High
IN,3.43,5.35,69.41,1847.58,Indiana,11.609764881530694,Low
KY,22.61,8.24,90.52,6450.31,Kentucky,13.17211813031214,Mid
SC,21.61,5.15,96.4,8648.42,South Carolina,15.482592393573222,Mid
CT,3.15,3.17,83.08,3406.11,Connecticut,8.98742140685939,Low
ME,14.03,6.75,72.22,7962.4,Maine,15.343065316915968,Mid
CT,6.29,5.08,80.94,5506.58,Connecticut,8.98742140685939,Low
CT,5.2,4.69,90.85,5394.49,Connecticut,8.98742140685939,Low
OH,24.34,7.84,88.38,8757.22,Ohio,24.41574456226751,High
NV,11.47,6.57,69.36,6805.3,Nevada,16.741985453031397,Mid
GA,24.38,8.38,87.69,9996.41,Georgia,20.037233822532773,High
GA,14.16,5.33,90.96,10870.84,Georgia,20.037233822532773,High
NC,22.11,6.21,93.33,10787.67,North Carolina,9.105877080749751,Low
TX,19.56,6.56,94.7,6299.46,Texas,8.584604858958713,Low
NJ,10.91,7.2,78.5,8179.27,New Jersey,8.78965701623996,Low
FL,15.76,4.56,88.52,12260.57,Florida,18.21895519963455,High
CA,18.82,9.38,85.55,12022.16,California,10.65231688752142,Low
FL,22.49,7.89,84.08,11508.28,Florida,18.21895519963455,High
CA,7.71,4.96,87.16,6118.46,California,10.65231688752142,Low
OH,16.84,7.94,85.71,8316.21,Ohio,24.41574456226751,High
CA,15.0,7.1,89.83,8190.25,California,10.65231688752142,Low
NY,18.31,6.09,96.21,7499.26,New York,10.898910102683956,Low
NJ,26.34,14.71,91.55,14870.57,New Jersey,8.78965701623996,Low
NJ,17.71,11.76,83.27,10108.57,New Jersey,8.78965701623996,Low
UT,16.78,8.2,91.51,8286.91,Utah,23.45844683533929,High
OR,17.04,6.42,97.04,7281.29,Oregon,13.1784340759473,Mid
RI,22.96,9.18,84.09,10377.49,Rhode Island,19.63196145070667,High
AR,17.2,5.39,81.45,12271.56,Arkansas,18.177194231349624,Mid
CA,4.65,2.4,93.55,5984.86,California,10.65231688752142,Low
CT,3.54,4.97,97.0,4573.47,Connecticut,8.98742140685939,Low
MA,11.47,6.33,94.07,3598.01,Massachusetts,18.40149921028045,High
GA,18.63,7.16,88.89,6468.83,Georgia,20.037233822532773,High
RI,6.52,5.96,83.57,3580.36,Rhode Island,19.63196145070667,High
FL,6.47,4.03,87.22,14624.77,Florida,18.21895519963455,High
TX,14.5,9.52,87.72,5809.32,Texas,8.584604858958713,Low
CT,4.36,3.83,88.0,4164.7,Connecticut,8.98742140685939,Low
TX,16.98,7.22,82.03,8264.56,Texas,8.584604858958713,Low
VA,19.32,6.1,89.41,9162.75,Virginia,19.26287883401769,High
AL,24.82,9.24,88.67,11816.65,Alabama,14.367182020405163,Mid
CT,17.07,10.62,52.44,10364.73,Connecticut,8.98742140685939,Low
WI,12.73,7.8,95.0,5599.71,Wisconsin,17.294074748835754,Mid
CA,12.68,4.6,84.06,6007.71,California,10.65231688752142,Low
GA,33.31,9.64,51.54,10137.96,Georgia,20.037233822532773,High
NJ,4.14,4.03,93.68,4195.22,New Jersey,8.78965701623996,Low
MA,8.61,4.8,85.71,4213.46,Massachusetts,18.40149921028045,High
FL,16.42,6.16,94.13,11311.83,Florida,18.21895519963455,High
IN,11.53,6.15,97.39,8108.77,Indiana,11.609764881530694,Low
OH,21.86,11.23,85.45,8699.25,Ohio,24.41574456226751,High
LA,14.25,6.98,88.79,8515.69,Louisiana,16.92085933774804,Mid
CO,18.96,5.05,92.5,6650.1,Colorado,10.651906845715445,Low
WV,23.18,10.76,93.07,6520.9,West Virginia,16.841156360022783,Mid
CA,10.07,6.82,91.85,6173.62,California,10.65231688752142,Low
CA,13.38,5.72,35.01,7382.46,California,10.65231688752142,Low
TX,22.64,8.92,85.22,9863.89,Texas,8.584604858958713,Low
CA,8.3,4.62,82.95,6596.34,California,10.65231688752142,Low
IN,25.56,14.24,90.2,9555.67,Indiana,11.609764881530694,Low
FL,8.43,3.93,76.06,3833.64,Florida,18.21895519963455,High
VA,20.89,6.43,91.02,10988.86,Virginia,19.26287883401769,High
NJ,3.89,4.56,89.47,5696.36,New Jersey,8.78965701623996,Low
NY,22.7,8.17,76.34,7036.83,New York,10.898910102683956,Low
NJ,17.02,10.94,93.98,6623.24,New Jersey,8.78965701623996,Low
CA,6.69,4.58,91.03,7076.87,California,10.65231688752142,Low
CT,27.51,10.73,91.2,14617.22,Connecticut,8.98742140685939,Low
CO,7.43,4.71,96.66,8307.05,Colorado,10.651906845715445,Low
CT,12.09,7.77,90.48,8449.33,Connecticut,8.98742140685939,Low
WA,16.79,7.19,93.07,11396.54,Washington,13.299088293519986,Mid
NJ,3.46,4.46,48.02,3642.93,New Jersey,8.78965701623996,Low
CA,9.67,6.11,84.47,7369.31,California,10.65231688752142,Low
NY,14.71,6.99,78.38,7435.76,New York,10.898910102683956,Low
MA,6.51,6.05,90.91,3621.35,Massachusetts,18.40149921028045,High
TX,21.15,7.84,85.84,10782.76,Texas,8.584604858958713,Low
CT,5.41,5.28,90.99,4713.82,Connecticut,8.98742140685939,Low
WI,22.22,8.88,81.73,8184.21,Wisconsin,17.294074748835754,Mid
CA,4.25,4.19,88.18,3953.97,California,10.65231688752142,Low
NJ,18.05,10.86,80.45,9354.49,New Jersey,8.78965701623996,Low
DC,16.87,7.03,90.24,12300.73,District of Columbia,24.48293867199749,High
CA,6.16,4.25,89.19,3973.86,California,10.65231688752142,Low
